"prov_code","prov_name","muni_code","muni_name","c1842","c1857","c1860","c1877","c1887","c1897","c1900","c1910","c1920","c1930","c1940","c1950","c1960","c1970","c1981","c1991","c2001","c2011"
19,"guadalajara","19243","Rueda de la Sierra",148,NA,NA,354,379,392,392,414,430,447,481,455,377,282,116,85,62,59
19,"guadalajara","19244","Sacecorbo",453,NA,NA,598,606,596,637,677,644,637,437,515,477,248,185,165,161,107
19,"guadalajara","19245","Sacedon",1275,NA,NA,1869,2100,2108,2194,2370,2374,2450,2297,2565,1922,2040,1891,1633,1541,1800
19,"guadalajara","19246","Saelices de la Sal",126,NA,NA,264,285,274,282,297,276,293,288,249,195,122,88,77,64,57
19,"guadalajara","19247","Salmeron",1148,NA,NA,1121,1055,1038,960,1114,1056,969,1009,1005,885,561,361,271,239,190
19,"guadalajara","19248","San Andres del Congosto",156,NA,NA,365,398,425,420,468,428,389,405,415,348,151,94,65,79,94
19,"guadalajara","19249","San Andres del Rey",183,NA,NA,152,167,182,172,187,185,192,215,202,182,119,60,48,50,38
19,"guadalajara","19250","Santiuste",100,NA,NA,212,234,239,248,270,252,245,233,193,176,107,10,24,21,24
19,"guadalajara","19251","Sauca",129,NA,NA,551,525,606,586,664,609,390,394,339,296,156,85,68,67,52
19,"guadalajara","19252","Sayaton",346,NA,NA,419,463,460,457,476,633,808,820,837,570,424,214,235,129,110
19,"guadalajara","19253","Secarro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA
19,"guadalajara","19254","Selas",140,NA,NA,361,370,337,356,390,387,368,370,339,284,177,79,76,53,67
19,"guadalajara","19255","Setiles",318,NA,NA,717,760,775,814,955,1127,1125,974,938,769,395,267,231,148,97
19,"guadalajara","19256","Sienes",218,NA,NA,309,312,319,319,343,344,334,333,283,223,213,115,108,73,65
19,"guadalajara","19257","Siguenza",4717,NA,NA,4497,4686,4700,4484,4376,4213,4825,4398,4519,4715,6065,5308,4775,4724,4889
19,"guadalajara","19258","Solanillos del Extremo",342,NA,NA,335,319,310,295,289,294,341,349,333,316,203,120,103,115,106
19,"guadalajara","19259","Somolinos",149,NA,NA,406,371,321,283,262,253,205,216,181,181,98,69,44,40,36
19,"guadalajara","19260","Sotillo, El",172,NA,NA,246,239,222,225,228,248,235,218,246,228,132,50,63,44,48
19,"guadalajara","19261","Sotodosos",299,NA,NA,357,466,488,493,479,442,456,395,364,313,202,103,77,59,45
19,"guadalajara","19262","Tamajon",486,NA,NA,612,607,637,633,657,693,642,450,464,456,618,204,187,210,180
19,"guadalajara","19263","Taragudo",126,NA,NA,130,142,154,146,151,145,148,106,101,80,63,41,36,31,42
19,"guadalajara","19264","Taravilla",408,NA,NA,484,455,420,420,451,388,383,313,297,288,138,71,79,67,46
19,"guadalajara","19265","Tartanedo",225,NA,NA,404,421,403,404,437,450,367,383,360,330,138,307,244,189,173
19,"guadalajara","19266","Tendilla",812,NA,NA,1032,1103,1061,1083,1146,1069,1205,1095,997,1001,727,465,426,308,393
19,"guadalajara","19267","Terzaga",190,NA,NA,302,319,280,277,279,289,304,301,245,225,130,83,49,30,21
19,"guadalajara","19268","Tierzo",221,NA,NA,320,307,296,289,363,335,315,330,342,283,118,56,47,58,40
19,"guadalajara","19269","Toba, La",540,NA,NA,640,712,725,633,651,574,598,534,501,433,258,153,113,109,109
19,"guadalajara","19270","Tordelrabano",160,NA,NA,212,212,224,244,251,244,236,189,167,112,61,25,17,10,16
19,"guadalajara","19271","Tordellego",216,NA,NA,452,487,491,494,493,490,495,531,512,435,252,142,105,73,61
19,"guadalajara","19272","Tordesilos",369,NA,NA,784,777,711,670,719,757,677,620,676,606,416,194,176,120,118
19,"guadalajara","19273","Torete",42,NA,NA,NA,NA,NA,NA,NA,NA,215,243,216,186,312,NA,NA,NA,NA
19,"guadalajara","19274","Torija",422,NA,NA,771,746,694,715,776,710,790,771,666,574,590,446,365,476,1610
19,"guadalajara","19275","Torrebelena",486,NA,NA,422,481,455,455,481,498,432,344,331,312,155,NA,NA,NA,NA
19,"guadalajara","19276","Torrecilla del Ducado",151,NA,NA,NA,NA,NA,NA,NA,NA,111,103,92,65,42,11,NA,NA,NA
19,"guadalajara","19277","Torrecuadrada de Molina",172,NA,NA,332,381,412,410,423,456,457,457,409,324,96,29,25,17,24
19,"guadalajara","19278","Torrecuadradilla",122,NA,NA,199,211,197,196,224,214,174,182,163,167,154,107,81,53,33
19,"guadalajara","19279","Torre del Burgo",229,NA,NA,260,245,213,199,216,225,217,224,209,183,115,71,58,111,175
19,"guadalajara","19280","Torrejon del Rey",248,NA,NA,456,468,422,462,512,513,515,537,504,449,420,438,437,1460,5117
19,"guadalajara","19281","Torremocha de Jadraque",183,NA,NA,200,167,187,190,186,150,144,153,142,96,53,26,18,16,30
19,"guadalajara","19282","Torremocha del Campo",192,NA,NA,264,274,249,233,247,209,269,183,240,208,1005,458,409,277,241
19,"guadalajara","19283","Torremocha del Pinar",150,NA,NA,318,361,383,397,411,392,412,447,411,361,257,144,85,68,48
19,"guadalajara","19284","Torremochuela",124,NA,NA,214,227,181,181,202,170,200,206,225,188,56,14,10,14,11
19,"guadalajara","19285","Torrubia",303,NA,NA,400,287,330,302,300,334,322,321,292,221,142,80,50,41,24
19,"guadalajara","19286","Tortola de Henares",551,NA,NA,569,636,674,665,704,731,760,742,778,754,609,493,411,453,939
19,"guadalajara","19287","Tortuera",540,NA,NA,676,773,721,672,723,756,696,766,790,676,466,328,274,226,222
19,"guadalajara","19288","Tortuero",156,NA,NA,279,270,255,246,252,245,243,257,229,211,89,39,38,31,18
19,"guadalajara","19289","Traid",401,NA,NA,698,695,674,662,629,707,560,540,522,443,184,69,66,56,33
19,"guadalajara","19290","Trijueque",616,NA,NA,722,663,618,721,776,719,692,561,545,512,405,355,331,571,1378
19,"guadalajara","19291","Trillo",670,NA,NA,798,826,878,862,998,1006,921,952,1025,914,1256,1198,1378,1356,1524
19,"guadalajara","19292","Turmiel",176,NA,NA,434,421,445,461,421,400,350,353,320,224,129,NA,NA,NA,NA
19,"guadalajara","19293","Uceda",401,NA,NA,689,734,726,733,764,734,727,743,722,653,578,409,490,1060,2601
19,"guadalajara","19294","Ujados",100,NA,NA,207,199,217,220,210,219,189,182,162,122,76,57,48,30,31
19,"guadalajara","19295","Usanos",818,NA,NA,736,647,610,626,646,543,625,607,617,630,465,NA,NA,NA,NA
19,"guadalajara","19296","Utande",248,NA,NA,404,386,381,368,408,324,345,283,304,251,215,113,75,56,45
19,"guadalajara","19297","Valdarachas",159,NA,NA,126,122,104,118,100,103,104,124,120,87,43,32,26,28,37
19,"guadalajara","19298","Valdearenas",441,NA,NA,569,538,457,559,581,573,520,254,307,312,181,84,61,68,86
19,"guadalajara","19299","Valdeavellano",135,NA,NA,458,423,407,380,446,448,495,526,484,385,228,107,96,103,93
19,"guadalajara","19300","Valdeaveruelo",128,NA,NA,123,105,157,132,107,105,105,111,89,104,96,102,158,444,1077
19,"guadalajara","19301","Valdeconcha",533,NA,NA,610,551,487,482,490,542,556,587,535,505,187,33,33,71,42
19,"guadalajara","19302","Valdegrudas",123,NA,NA,272,282,255,251,274,300,240,220,220,204,125,94,66,56,68
19,"guadalajara","19303","Valdelcubo",238,NA,NA,332,342,334,336,351,359,329,380,335,237,142,86,65,71,71
19,"guadalajara","19304","Valdenuno Fernandez",212,NA,NA,408,395,396,383,354,362,348,363,373,339,215,165,139,161,276
19,"guadalajara","19305","Valdepenas de la Sierra",284,NA,NA,774,723,730,752,783,806,789,763,680,556,383,377,258,212,192
19,"guadalajara","19306","Valderrebollo",138,NA,NA,198,172,200,190,201,188,191,183,192,177,47,27,52,28,42
19,"guadalajara","19307","Valdesotos",128,NA,NA,175,182,157,144,148,171,179,180,187,187,57,30,43,35,25
19,"guadalajara","19308","Valfermoso de Tajuna",557,NA,NA,586,602,489,553,539,554,576,582,577,558,226,107,70,99,67
19,"guadalajara","19309","Valhermoso",169,NA,NA,334,328,309,314,359,360,303,310,301,226,96,56,52,42,39
19,"guadalajara","19310","Valtablado del Rio",110,NA,NA,172,179,188,196,237,217,156,138,146,117,70,36,19,11,14
19,"guadalajara","19311","Valverde de los Arroyos",300,NA,NA,474,450,414,423,409,349,331,309,311,305,166,85,90,93,90
19,"guadalajara","19312","Veguillas",157,NA,NA,175,176,160,154,186,181,173,162,137,142,57,NA,NA,NA,NA
19,"guadalajara","19313","Vereda, La",215,NA,NA,327,342,315,333,274,275,269,264,231,216,NA,NA,NA,NA,NA
19,"guadalajara","19314","Viana de Jadraque",53,NA,NA,217,242,233,274,264,224,216,228,241,188,116,81,59,57,50
19,"guadalajara","19315","Villacadima",162,NA,NA,250,287,265,278,271,271,261,216,223,175,41,NA,NA,NA,NA
19,"guadalajara","19316","Villaescusa de Palositos",232,NA,NA,148,168,163,172,166,147,145,140,139,99,52,NA,NA,NA,NA
19,"guadalajara","19317","Villanueva de Alcoron",472,NA,NA,551,512,606,621,704,764,797,811,762,744,594,434,336,243,188
19,"guadalajara","19318","Villanueva de Argecilla",149,NA,NA,109,95,82,77,126,121,101,90,85,78,68,55,54,39,42
19,"guadalajara","19319","Villanueva de la Torre",258,NA,NA,218,196,210,209,202,191,185,186,205,203,156,84,114,2960,6351
19,"guadalajara","19320","Villar de Cobeta",129,NA,NA,334,324,346,353,365,349,302,266,270,227,144,NA,NA,NA,NA
19,"guadalajara","19321","Villares de Jadraque",130,NA,NA,254,223,250,259,319,283,271,249,226,179,81,47,52,63,61
19,"guadalajara","19322","Villaseca de Henares",200,NA,NA,425,420,434,392,413,840,1015,933,1034,323,186,109,62,62,34
19,"guadalajara","19323","Villaseca de Uceda",136,NA,NA,138,138,131,129,133,132,155,126,124,125,84,76,65,70,53
19,"guadalajara","19324","Villel de Mesa",379,NA,NA,707,662,687,697,825,833,780,797,655,504,434,345,280,245,224
19,"guadalajara","19325","Vinuelas",246,NA,NA,373,308,290,291,317,263,285,321,369,311,209,274,125,116,136
19,"guadalajara","19326","Yebes",334,NA,NA,296,237,200,236,233,282,253,304,297,280,158,62,71,203,2099
19,"guadalajara","19327","Yebra",950,NA,NA,1006,985,1000,1024,1219,1376,1435,1434,1485,1191,788,678,596,533,645
19,"guadalajara","19328","Yela",208,NA,NA,365,415,410,385,429,422,426,223,344,337,119,NA,NA,NA,NA
19,"guadalajara","19329","Yelamos de Abajo",376,NA,NA,355,354,356,334,385,353,336,352,311,250,166,148,106,96,69
19,"guadalajara","19330","Yelamos de Arriba",390,NA,NA,468,434,424,406,408,404,375,371,407,382,248,187,132,167,109
19,"guadalajara","19331","Yunquera de Henares",883,NA,NA,1013,1170,1102,1208,1272,1284,1377,1553,1630,1825,1859,1972,1923,2069,3720
19,"guadalajara","19332","Yunta, La",320,NA,NA,564,520,523,533,496,574,614,624,614,544,355,223,193,151,113
19,"guadalajara","19333","Zaorejas",539,NA,NA,717,748,805,775,849,950,1011,911,992,774,415,308,233,178,155
